Step,Multiplier_0_deg,Multiplier_120_deg,Multiplier_240_deg,Multiplier_Res,Alpha_Res
234,0.86813096,0.406602485,0.18059203,0.606959241,18.81282962
235,0.853185433,0.405588096,0.177660034,0.595243287,19.36681746
236,0.85558033,0.405831509,0.174640757,0.599750727,19.50163755
237,0.850925942,0.407266714,0.171840451,0.597250425,19.96054217
238,0.844542984,0.416124429,0.16956537,0.591577809,21.15817622
239,0.839225942,0.442170514,0.16812177,0.584438421,23.9592974
240,0.831531871,0.443821454,0.167771994,0.577537811,24.45256391
241,0.826406098,0.444949444,0.168005111,0.572581524,24.76366368
242,0.826431979,0.445654054,0.169054411,0.571683679,24.77222616
243,0.848114716,0.446034852,0.182801327,0.580345592,23.12960605
244,0.848533203,0.44619141,0.182358703,0.581065866,23.1549104
245,0.844453065,0.446223297,0.181356268,0.578117139,23.37663033
246,0.838205028,0.44451991,0.179911014,0.573740729,23.5413262
247,0.830872337,0.439305041,0.178139935,0.569030644,23.42044081
248,0.824007985,0.432732789,0.176160023,0.565080899,23.15472189
249,0.819180202,0.427028372,0.174088271,0.562985502,22.89794628
250,0.817043466,0.424417007,0.172041674,0.562972538,22.84447819
251,0.817641086,0.435392721,0.170137222,0.563797635,24.04459838
252,0.820611864,0.454700159,0.16849191,0.566156768,25.96361693
253,0.824505689,0.452812134,0.167222731,0.570849495,25.67478533
254,0.840516375,0.45036141,0.166446677,0.586173366,24.80061722
255,0.847107056,0.448157625,0.178283151,0.582802838,23.64223343
256,0.83839664,0.447010421,0.177501217,0.575587154,23.92259705
257,0.829040013,0.46961666,0.17580507,0.56666846,26.68114564
258,0.817166668,0.466692793,0.173473858,0.558188908,27.06021907
259,0.807764387,0.462451033,0.17078673,0.552290645,27.21607269
260,0.819226418,0.457941494,0.168022837,0.565086599,26.37957418
261,0.814803006,0.45421429,0.165461327,0.563492286,26.3454001
262,0.80898154,0.452319535,0.163381349,0.56013064,26.53415103
263,0.803541598,0.487670476,0.162062053,0.555558916,30.50211902
264,0.797191682,0.484093384,0.161742743,0.550334368,30.48164032
265,0.791299645,0.478687494,0.161975844,0.545014253,30.21548477
266,0.786738826,0.472822693,0.163025138,0.540155824,29.78156515
267,0.795681599,0.467868866,0.176788488,0.536291738,28.03742966
268,0.791280496,0.465195899,0.176528215,0.532719703,27.98742931
269,0.786396576,0.503886831,0.175938617,0.529160045,32.4607234
270,0.782307942,0.490038922,0.175088302,0.525989907,31.23544259
271,0.778629877,0.477517243,0.17404588,0.523586428,30.12905733
272,0.775619229,0.489455917,0.172879961,0.522208963,31.66864475
273,0.773046293,0.49038165,0.171659155,0.521128496,31.98259651
274,0.770656836,0.49062068,0.17045207,0.520179752,32.2107655
275,0.768558087,0.490657674,0.169327317,0.519403193,32.3960942
276,0.766849138,0.490977303,0.168353505,0.518839285,32.58229987
277,0.76562257,0.492064236,0.167599244,0.518528491,32.81364412
278,0.763799453,0.510374874,0.167133143,0.518676001,34.96706548
279,0.777947801,0.511594467,0.178300529,0.520387259,33.68769926
280,0.781282001,0.512134674,0.178067145,0.523406897,33.55559135
281,0.785213234,0.512356621,0.177528643,0.52718169,33.36956434
282,0.78911838,0.51262143,0.176748261,0.531158409,33.2041106
283,0.792382957,0.513290225,0.175789235,0.53478383,33.13043519
284,0.794336627,0.515556759,0.174714801,0.537504727,33.30962119
285,0.793938424,0.524322104,0.173588198,0.53876787,34.31734769
286,0.790285081,0.536836145,0.17247266,0.537907659,35.9176028
287,0.783946855,0.548873738,0.171431426,0.535208941,37.64318077
288,0.777428724,0.556180291,0.170527732,0.531981005,38.88899793
289,0.77300991,0.558283461,0.169824815,0.529546894,39.44138577
290,0.769166173,0.569646317,0.169385911,0.529033519,40.93666874
291,0.784185595,0.569388649,0.181311146,0.529244498,39.42204734
292,0.784636866,0.568769268,0.181106545,0.529683894,39.33273356
293,0.785090004,0.567817762,0.180620582,0.530335821,39.21879741
294,0.785586516,0.566563719,0.179911208,0.531184398,39.07856349
295,0.786167284,0.565036726,0.179036378,0.53221374,38.91045033
296,0.786872478,0.563266372,0.178054044,0.533407965,38.71297315
297,0.787741469,0.561282245,0.17702216,0.534751189,38.48474377
298,0.788812748,0.559113933,0.175998679,0.536227529,38.22446935
299,0.790273703,0.556791023,0.175041555,0.537939315,37.92113766
300,0.793796697,0.554343105,0.174208741,0.541169748,37.46834499
301,0.798628373,0.551799765,0.17355819,0.545299819,36.92073287
302,0.803139493,0.549190592,0.173147855,0.548993465,36.3843736
303,0.817998195,0.546545173,0.184318737,0.550656149,34.72785094
304,0.821103732,0.543893097,0.183941837,0.553347055,34.28764927
305,0.840200325,0.541263952,0.183057773,0.569873212,32.98087549
306,0.844410668,0.538687326,0.181816815,0.574392696,32.55181341
307,0.843976096,0.536192806,0.180369235,0.575202153,32.39333768
